CIRCUITS REPORT
=============================================================================================================================================== 
  CIRC    FROM    TO      Pik (MW)  Qik (MVAr)   Sik (MVA)   Pki (MW)  Qki (MVAr)    Ski (MVA)  Cap (MVA)    Loading    Ploss (MW)  Qloss (MVAr)
  224   2487    103      -15.45        0.00      -15.45       15.45       0.00        15.45   178.0000       0.0868        0.000        0.000
  225   4281    103      -16.89        0.00      -16.89       16.89       0.00        16.89   284.0000       0.0595        0.000        0.000
  226   1964    103      -15.15        0.00      -15.15       15.15       0.00        15.15   244.0000       0.0621        0.000        0.000
  227   1670    104       -2.06        0.00       -2.06        2.06       0.00         2.06   492.0000       0.0042        0.000        0.000
  228   5494    104      107.61        0.00      107.61     -107.61       0.00      -107.61   492.0000       0.2187        0.000        0.000
  229    263    105      124.26        0.00      124.26     -124.26       0.00      -124.26   463.0000       0.2684        0.000        0.000
  230   1559    105     -106.94        0.00     -106.94      106.94       0.00       106.94   432.0000       0.2475        0.000        0.000
  231   2095    105       10.30        0.00       10.30      -10.30       0.00       -10.30   432.0000       0.0238        0.000        0.000
  232   3539    105        9.28        0.00        9.28       -9.28       0.00        -9.28   481.0000       0.0193        0.000        0.000
  233   2208    106       20.55        0.00       20.55      -20.55       0.00       -20.55   1225.0000       0.0168        0.000        0.000
  234   2272    106       51.24        0.00       51.24      -51.24       0.00       -51.24   676.0000       0.0758        0.000        0.000
  235   3262    106      -33.30        0.00      -33.30       33.30       0.00        33.30   309.0000       0.1078        0.000        0.000
  236   5070    106       19.71        0.00       19.71      -19.71       0.00       -19.71   735.0000       0.0268        0.000        0.000
  237   3000    107       26.75        0.00       26.75      -26.75       0.00       -26.75   506.0000       0.0529        0.000        0.000
  238   3000    107       26.75        0.00       26.75      -26.75       0.00       -26.75   506.0000       0.0529        0.000        0.000
  239   3979    108       -4.03        0.00       -4.03        4.03       0.00         4.03   383.0000       0.0105        0.000        0.000
  240   3978    108       16.23        0.00       16.23      -16.23       0.00       -16.23   377.0000       0.0430        0.000        0.000
  241    633    109      -13.33        0.00      -13.33       13.33       0.00        13.33   251.0000       0.0531        0.000        0.000
  242    677    109      -16.66        0.00      -16.66       16.66       0.00        16.66   125.0000       0.1332        0.000        0.000
  243    765    109        0.00        0.00        0.00        0.00       0.00         0.00   325.0000       0.0000        0.000        0.000
  244   5203    109      -17.52        0.00      -17.52       17.52       0.00        17.52   338.0000       0.0518        0.000        0.000
  245   5207    109       17.32        0.00       17.32      -17.32       0.00       -17.32   425.0000       0.0407        0.000        0.000
