ID_CIRC;FROM_BUS;TO_BUS;Pik_MW;Qik_MVAr;Sik_MVA;Pki_MW;Qki_MVAr;Ski_MVA;Cap_MVA;Loading;Ploss_MW;Qloss_MVAr
27;4595;14;52.272;0.0;52.272;-52.272;0.0;-52.272;660.0;0.0792;0.0;0.0
28;4955;14;-20.414;0.0;-20.414;20.414;0.0;20.414;184.0;0.1109;0.0;0.0
29;5230;14;-8.65;0.0;-8.65;8.65;0.0;8.65;270.0;0.032;0.0;0.0
30;2874;14;-19.357;0.0;-19.357;19.357;0.0;19.357;562.0;0.0344;0.0;0.0
31;4595;14;52.847;0.0;52.847;-52.847;0.0;-52.847;667.0;0.0792;0.0;0.0
32;2906;15;-28.401;0.0;-28.401;28.401;0.0;28.401;284.0;0.1;0.0;0.0
33;4124;15;-6.883;0.0;-6.883;6.883;0.0;6.883;133.0;0.0517;0.0;0.0
34;4455;15;35.283;0.0;35.283;-35.283;0.0;-35.283;107.0;0.3298;0.0;0.0
35;249;16;4.474;0.0;4.474;-4.474;0.0;-4.474;149.0;0.03;0.0;0.0
36;337;16;9.426;0.0;9.426;-9.426;0.0;-9.426;99.0;0.0952;0.0;0.0
37;5834;17;10.9;0.0;10.9;-10.9;0.0;-10.9;457.0;0.0239;0.0;0.0
38;3727;18;0.0;0.0;0.0;0.0;0.0;0.0;1194.0;0.0;0.0;0.0
39;5094;19;1.0;0.0;1.0;-1.0;0.0;-1.0;52398.0;0.0;0.0;0.0
40;3727;20;5.6;0.0;5.6;-5.6;0.0;-5.6;5369.0;0.001;0.0;0.0
41;1354;21;-10.565;0.0;-10.565;10.565;0.0;10.565;282.0;0.0375;0.0;0.0
42;1598;21;18.165;0.0;18.165;-18.165;0.0;-18.165;313.0;0.058;0.0;0.0
43;1843;22;12.634;0.0;12.634;-12.634;0.0;-12.634;81.0;0.156;0.0;0.0
44;5023;22;5.866;0.0;5.866;-5.866;0.0;-5.866;132.0;0.0444;0.0;0.0
45;1157;23;15.162;0.0;15.162;-15.162;0.0;-15.162;234.0;0.0648;0.0;0.0
46;2703;23;17.238;0.0;17.238;-17.238;0.0;-17.238;233.0;0.074;0.0;0.0
47;3425;23;-10.0;0.0;-10.0;10.0;0.0;10.0;445.0;0.0225;0.0;0.0
48;144;24;25.542;0.0;25.542;-25.542;0.0;-25.542;180.0;0.1419;0.0;0.0
49;1282;24;-8.542;0.0;-8.542;8.542;0.0;8.542;235.0;0.0364;0.0;0.0
50;490;25;26.598;0.0;26.598;-26.598;0.0;-26.598;1048.0;0.0254;0.0;0.0
51;2093;25;28.102;0.0;28.102;-28.102;0.0;-28.102;710.0;0.0396;0.0;0.0
52;612;26;-41.989;0.0;-41.989;41.989;0.0;41.989;199.0;0.211;0.0;0.0
53;1866;26;-15.0;0.0;-15.0;15.0;0.0;15.0;2731.0;0.0055;0.0;0.0
54;2602;26;-32.12;0.0;-32.12;32.12;0.0;32.12;209.0;0.1537;0.0;0.0
