BUS;V_pu;Theta_deg;P_MW;Q_MVAr;PG_MW;QG_MVAr;PD_MW;QD_MVAr;Psh_MW;Qsh_MVAr
1721;1.0;-27.96;-1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
1722;1.0;-33.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1723;1.0;-31.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1724;1.0;-30.48;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1725;1.0;-29.87;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1726;1.0;-24.53;-23.6;0.0;0.0;0.0;23.6;0.0;0.0;0.0
1727;1.0;-29.06;-25.7;0.0;0.0;0.0;25.7;0.0;0.0;0.0
1728;1.0;-28.35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1729;1.0;-28.35;3.6;0.0;0.0;0.0;-3.6;0.0;0.0;0.0
1730;1.0;-37.27;-14.8;0.0;0.0;0.0;14.8;0.0;0.0;0.0
1731;1.0;-36.9;-52.5;0.0;0.0;0.0;52.5;0.0;0.0;0.0
1732;1.0;-27.26;-17.0;0.0;0.0;0.0;17.0;0.0;0.0;0.0
1733;1.0;-25.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1734;1.0;-33.32;-14.1;0.0;0.0;0.0;14.1;0.0;0.0;0.0
1735;1.0;-29.49;-26.5;0.0;0.0;0.0;26.5;0.0;0.0;0.0
1736;1.0;-32.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1737;1.0;-27.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1738;1.0;-43.9;-15.0;0.0;0.0;0.0;15.0;0.0;0.0;0.0
1739;1.0;-32.89;-21.0;0.0;0.0;0.0;21.0;0.0;0.0;0.0
1740;1.0;-29.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1741;1.0;-24.09;-12.2;0.0;0.0;0.0;12.2;0.0;0.0;0.0
1742;1.0;-20.63;0.7;0.0;0.0;0.0;-0.7;0.0;0.0;0.0
1743;1.0;-20.63;0.7;0.0;0.0;0.0;-0.7;0.0;0.0;0.0
1744;1.0;-13.69;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1745;1.0;-13.68;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1746;1.0;-20.63;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1747;1.0;-11.52;46.4;0.0;40.0;0.0;-6.4;0.0;0.0;0.0
1748;1.0;-12.77;40.0;0.0;40.0;0.0;0.0;0.0;0.0;0.0
1749;1.0;-19.77;4.4;0.0;0.0;0.0;-4.4;0.0;0.0;0.0
1750;1.0;-20.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1751;1.0;-20.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1752;1.0;-20.63;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1753;1.0;-24.53;-21.0;0.0;0.0;0.0;21.0;0.0;0.0;0.0
1754;1.0;-24.81;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1755;1.0;-23.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1756;1.0;-34.17;-23.8;0.0;0.0;0.0;23.8;0.0;0.0;0.0
1757;1.0;-24.29;-2.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
1758;1.0;-26.26;-11.3;0.0;0.0;0.0;11.3;0.0;0.0;0.0
1759;1.0;-27.27;-1.4;0.0;0.0;0.0;1.4;0.0;0.0;0.0
1760;1.0;-29.76;-25.8;0.0;0.0;0.0;25.8;0.0;0.0;0.0
1761;1.0;-27.39;-19.6;0.0;0.0;0.0;19.6;0.0;0.0;0.0
1762;1.0;-31.26;-34.7;0.0;0.0;0.0;34.7;0.0;0.0;0.0
1763;1.0;-23.63;-3.5;0.0;0.0;0.0;3.5;0.0;0.0;0.0
1764;1.0;-27.89;-6.6;0.0;0.0;0.0;6.6;0.0;0.0;0.0
1765;1.0;-29.08;-28.0;0.0;0.0;0.0;28.0;0.0;0.0;0.0
1766;1.0;-21.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1767;1.0;-29.85;-54.1;0.0;0.0;0.0;54.1;0.0;0.0;0.0
1768;1.0;-30.75;-0.4;0.0;0.0;0.0;0.4;0.0;0.0;0.0
1769;1.0;-27.34;-21.4;0.0;0.0;0.0;21.4;0.0;0.0;0.0
1770;1.0;-27.34;-20.8;0.0;0.0;0.0;20.8;0.0;0.0;0.0
1771;1.0;-30.75;-0.4;0.0;0.0;0.0;0.4;0.0;0.0;0.0
1772;1.0;-27.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1773;1.0;-25.82;-32.7;0.0;0.0;0.0;32.7;0.0;0.0;0.0
1774;1.0;-31.98;1.5;0.0;0.0;0.0;-1.5;0.0;0.0;0.0
1775;1.0;-36.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1776;1.0;-31.49;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1777;1.0;-33.14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1778;1.0;-31.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
